,Eh
45099,0.1922053098678589
37833,0.023221507668495178
53943,0.4901469945907593
43639,0.0735786110162735
97893,0.10057725012302399
100592,0.029023639857769012
104723,0.004085049033164978
76147,0.033900462090969086
30581,0.06728924810886383
92803,0.04804538935422897
19223,0.7097849249839783
55712,0.009430542588233948
109770,0.001267746090888977
8555,4.7653913497924805e-05
100774,0.039144083857536316
8023,0.043021075427532196
84610,0.03717783838510513
58411,0.0794479250907898
42967,0.0042298585176467896
30895,0.006175518035888672
12429,0.012378334999084473
110376,0.01940716803073883
54605,0.055343613028526306
26886,0.015811383724212646
21478,0.020134374499320984
97581,0.2257850170135498
90507,-1.0341405868530273e-05
98292,0.07756610959768295
48873,0.09837176650762558
94814,0.014414876699447632
46995,-0.0005583763122558594
48161,2.6687979698181152e-05
61829,0.03512746840715408
49188,0.09707115590572357
29677,-4.632771015167236e-05
49094,0.050358809530735016
25377,0.6991986632347107
103383,0.046999454498291016
21275,0.08511993288993835
92577,0.008068248629570007
90567,0.012439191341400146
64149,0.08165188133716583
77320,0.017365947365760803
46055,0.06713065505027771
63402,0.16467146575450897
92782,0.021904729306697845
65032,0.0735602080821991
107897,0.019875824451446533
22570,0.2963269352912903
96430,0.04245952516794205
76711,0.03373032808303833
76867,0.025324024260044098
9945,0.13793620467185974
15100,0.061691202223300934
30113,0.0015857517719268799
13865,0.0708150565624237
95338,0.13752521574497223
52916,0.006526872515678406
10849,0.005727514624595642
73201,0.20205090939998627
22543,0.2583061754703522
105479,0.03600446134805679
34921,-6.109476089477539e-07
108950,0.016026601195335388
75434,0.21209821105003357
39659,0.04064709693193436
62516,0.002149924635887146
28029,0.017781004309654236
101220,0.04124981164932251
76998,0.03108789771795273
40165,0.030380718410015106
33018,0.045877717435359955
6422,0.014156430959701538
8572,0.02085324376821518
101802,0.20484954118728638
35165,0.015135005116462708
5505,0.03234833478927612
82997,0.00025044381618499756
47409,0.027914203703403473
44166,0.02478346973657608
49024,0.11015672981739044
13133,0.021213777363300323
102247,0.13003596663475037
110358,-3.2186508178710938e-06
83486,6.899237632751465e-05
35056,0.017765000462532043
56485,0.03401146084070206
84087,0.06301799416542053
73281,0.890021800994873
15022,0.20798464119434357
73060,0.6403442621231079
86592,0.025721177458763123
92369,0.026602037250995636
73237,0.7608087658882141
89280,0.01581251621246338
74120,0.20516303181648254
49816,0.05666615813970566
84900,0.04770718514919281
101936,0.012944892048835754
109590,0.011464402079582214
45188,0.1947854608297348
78192,0.04251082241535187
29389,0.015183240175247192
58283,0.0403885543346405
43599,0.043845199048519135
27596,0.014688968658447266
3176,0.04635707288980484
84710,0.03997473418712616
93826,0.043452076613903046
57362,2.720952033996582e-05
67585,0.07008133083581924
55429,0.00015529990196228027
110400,0.00010305643081665039
48278,0.050371915102005005
78595,0.032007575035095215
33568,0.0067186057567596436
62684,0.0142679363489151
30530,0.06498880684375763
6440,0.06759802997112274
52918,9.074807167053223e-05
6065,0.42923882603645325
9806,0.0921381413936615
28252,0.014827817678451538
71893,0.024360723793506622
4805,0.057904280722141266
94671,0.020825393497943878
72010,0.011230096220970154
7423,0.14188025891780853
94339,0.3067748546600342
29781,0.0041289180517196655
107876,0.0019873827695846558
14550,0.05919235199689865
9919,0.05485547333955765
31589,0.04093337804079056
29281,0.06632117182016373
106142,0.2602998614311218
29415,0.009558990597724915
80116,0.016648799180984497
19563,2.9474496841430664e-05
30856,0.01762363314628601
18142,0.048299118876457214
95953,-0.0008146315813064575
16709,0.015663325786590576
67739,0.02706727385520935
18596,0.04063418507575989
67302,0.10518850386142731
87694,5.2094459533691406e-05
35030,5.960464477539062e-07
37626,0.01335868239402771
72540,0.016723260283470154
97778,0.010082468390464783
24964,0.062069863080978394
45419,0.046618759632110596
36495,0.6797701716423035
91073,0.0819845125079155
103133,0.053246140480041504
58939,0.03991115838289261
109780,-8.240342140197754e-06
4323,0.4758600890636444
11837,0.0031068772077560425
66604,0.09237808734178543
109599,0.021022602915763855
41818,0.0013599395751953125
75153,0.05983850359916687
12882,0.015887394547462463
44266,0.015424951910972595
97241,0.1240650936961174
78510,0.041842587292194366
47056,-0.00024431943893432617
