,Eg
49351,3.601654291152954
37815,5.191465854644775
82807,3.993949174880981
52941,2.30666732788086
12251,1.1635786294937134
70873,4.337974548339844
70027,5.099803924560547
18139,4.382253646850586
45565,1.2582032680511477
43174,4.172425270080566
91314,4.604733943939209
75961,2.0667786598205566
31611,1.6522420644760132
81416,2.570523262023926
75966,2.595866680145264
40241,1.0461511611938477
21289,1.862930059432984
6636,5.798728942871094
2326,2.1719229221343994
27991,0.6820391416549683
85564,1.8022775650024407
25193,2.2956995964050293
84499,4.962202072143555
95398,0.9174998998641968
39178,4.053075313568115
81364,2.872718811035156
35265,5.483271598815918
16883,1.327498197555542
47335,1.2072772979736328
28233,1.9883763790130613
59247,1.183746576309204
6615,3.098156213760376
91224,2.5096211433410645
4324,0.6124075055122375
81918,4.999197483062744
44433,2.548380851745605
76892,0.7947825789451599
68440,1.6899303197860718
101160,3.5178017616271973
34309,3.9810757637023926
4078,1.624320387840271
70867,4.4323272705078125
7229,0.5247077941894531
75995,1.9310681819915767
57848,0.8508949875831604
28503,3.807819366455078
45846,1.361422777175903
74161,2.291241407394409
21354,2.8941898345947266
17797,3.14761734008789
106860,1.1906976699829102
5664,0.8856017589569092
13557,0.6368688344955444
2858,2.537200450897217
11278,0.864395260810852
15242,0.6060320734977722
91351,4.5195794105529785
101497,0.5178540945053101
26629,1.5441910028457642
20434,1.5802637338638306
20940,1.5009788274765017
82968,2.203592538833618
86694,1.6163543462753296
41787,0.7106202244758606
6161,2.7931416034698486
17307,1.1382362842559814
3935,1.3776451349258425
62870,3.665771961212158
91518,4.29310417175293
72342,1.6650344133377075
96734,1.8232662677764893
77572,1.6130237579345703
77125,0.6364251375198364
91096,2.75525426864624
16917,4.111228942871094
48382,2.047473907470703
97491,3.796697616577149
62660,2.924621343612671
3034,0.9665384888648988
71523,2.5395450592041016
104768,2.206299304962158
62617,5.164126396179199
33851,4.751610279083252
69388,4.628802299499512
38051,1.467382311820984
10648,1.0349586009979248
76070,1.294490098953247
110560,2.4629158973693848
30572,2.187695980072021
97357,3.539068937301636
34674,3.77513599395752
3181,0.7109671235084534
84477,5.368796348571777
46060,1.8130301237106323
110129,1.2488054037094116
62792,3.01926851272583
40466,1.672082543373108
45286,0.6349994540214539
84376,4.338522911071777
47369,0.9625928997993468
70087,4.754891395568848
29750,2.49992299079895
1568,3.750896692276001
47041,1.6564691066741943
3342,2.5163514614105225
41387,0.7070164084434509
87266,0.5929466485977173
39123,0.9189673662185668
30705,1.0492228269577026
1901,4.7437591552734375
91555,2.892108678817749
97871,3.015474319458008
33795,4.112302780151367
31690,0.8523473739624023
22738,0.6606515645980835
70565,4.2516021728515625
742,3.0507497787475586
79924,2.546502590179444
65611,0.6781279444694519
67364,3.139010190963745
95530,1.431632399559021
108671,2.258305549621582
69857,5.126678466796875
19589,0.7374452352523804
82077,5.085361480712891
46653,2.6944174766540527
82793,2.301013231277466
21386,1.4474444389343262
76166,2.0043420791625977
91371,1.6551954746246338
31830,3.731703996658325
66626,2.218431234359741
77593,1.880655527114868
83815,4.289396286010742
20687,0.9245545864105223
70319,4.376331806182861
28829,1.7123663425445557
70251,5.016824722290039
79422,4.530116558074951
78773,0.9794495105743408
48911,3.071840763092041
70748,3.2981739044189453
35495,1.0648081302642822
110186,1.787960171699524
31182,1.6097804307937622
42582,1.189323663711548
70802,4.614770889282227
86905,1.69744873046875
37884,3.465425491333008
43499,1.3609005212783811
34081,4.31130313873291
43449,4.93446159362793
19982,3.326527833938598
110706,0.5461970567703247
18312,1.5703526735305786
37265,2.213351249694824
81432,1.0702989101409912
14084,4.090643882751465
52776,1.3809829950332642
34910,3.817692279815674
21473,3.024320125579834
49266,0.9800316095352172
47732,3.389867782592773
70838,4.39125394821167
45049,3.511903524398804
99008,1.8951082229614256
52195,0.6523664593696594
86818,0.5354933738708496
56393,0.8352788686752319
109063,2.274585485458374
936,1.0897843837738037
106532,0.9526169896125792
47923,2.0082104206085205
96438,1.6531832218170166
12564,1.1272869110107422
99381,0.8270635008811951
35012,3.009074687957764
20630,1.8458895683288568
60356,0.7143993973731995
56238,1.723743557929993
25174,0.8232765197753906
94201,1.261696457862854
16950,5.329062461853027
49076,1.1626226902008057
100307,0.5587999820709229
82381,3.705899715423584
104804,2.1431305408477783
28618,2.238057851791382
62789,2.5029001235961914
27988,0.8588239550590515
62845,2.239933729171753
95667,2.727811813354492
99357,0.9256587624549866
69683,4.768719673156738
7316,3.383640766143799
91448,3.664233922958374
81952,0.7790361642837524
20625,1.5531762838363647
70591,4.965606212615967
15080,1.5875489711761477
48412,3.217661142349243
48835,2.2197155952453613
44483,2.1250529289245605
108126,0.7671472430229187
22777,1.6786141395568848
65106,0.5206774473190308
64660,1.2540432214736938
13941,4.938249111175537
22201,4.887932777404785
42909,0.5031800270080566
94632,3.062257766723633
75986,0.9468451142311096
33163,3.9302620887756334
82370,3.926059722900391
81704,2.859481811523437
89141,2.320478677749634
52805,1.015587568283081
56999,2.286510467529297
48701,2.6532554626464844
55813,1.539911866188049
85491,3.087442874908448
94932,1.3158074617385864
87906,1.6609143018722534
60530,3.088112592697144
76123,2.251420021057129
40739,1.3988298177719116
37966,4.629868030548096
51130,0.9255475401878356
15829,2.0104424953460693
105706,3.036607265472412
37644,1.3702412843704224
87051,2.20334267616272
94357,3.162022113800049
93728,4.805784225463867
84281,1.9951533079147337
74276,1.053369641304016
62496,3.3957462310791016
75357,3.3135480880737305
97615,3.652817964553833
56333,1.0191487073898315
34502,1.4631531238555908
1789,0.5962453484535217
69654,4.443361759185791
24339,1.0337238311767578
81682,1.3894996643066406
16460,1.7328834533691406
51096,0.6489850282669067
7285,2.219915866851806
99070,2.074673652648926
48582,2.67688512802124
35244,4.985361099243164
82365,3.9779014587402335
76158,2.289928436279297
28289,1.8873999118804927
59074,0.6758108735084534
70146,4.761404037475586
63183,1.7273707389831543
76521,0.8747575879096985
44985,3.00000524520874
82040,3.005265712738037
81523,3.54085636138916
82242,3.073616504669189
17320,1.210719347000122
97349,0.8482446670532227
13629,1.2099181413650513
74326,0.9281331300735474
19821,0.7638536095619202
111117,1.684930682182312
35177,4.8979034423828125
23730,4.216235160827637
32123,3.673773050308228
108720,2.02187180519104
11435,4.068093776702881
65512,1.4486231803894043
31180,1.9067710638046265
85466,1.16599440574646
69430,4.725809097290039
27950,1.0585722923278809
97389,2.880611181259156
82468,3.3377950191497803
86142,0.672265350818634
99064,2.7915139198303223
5136,4.262921333312988
27557,1.7070903778076172
91179,3.4928998947143555
55904,2.4631035327911377
21617,0.9026408791542052
75308,2.4972057342529297
20638,1.25038480758667
12581,1.7605373859405518
81822,0.5745948553085327
79713,5.047133445739746
96789,1.7793525457382202
25277,3.31567907333374
5238,1.1967730522155762
79644,4.844742774963379
51372,0.5107278823852539
47706,2.3587684631347656
8399,1.1938544511795044
59052,0.5671895742416382
14126,0.5934740900993347
62195,4.226469993591309
92890,1.2176175117492676
81921,3.544503688812256
77485,1.3620847463607788
91575,1.4030438661575315
55870,4.393591403961182
21631,1.7400727272033691
6648,6.689977645874023
28151,3.3664422035217285
